Analysing Base64
Version: 0.1.0, Dependencies: 0, DevDependencies: 3
Version: 0.1.1, Dependencies: 0, DevDependencies: 3
Version: 0.1.2, Dependencies: 0, DevDependencies: 3
Version: 0.1.3, Dependencies: 0, DevDependencies: 3
Version: 0.1.4, Dependencies: 0, DevDependencies: 3
Version: 0.2.0, Dependencies: 0, DevDependencies: 3
Version: 0.2.1, Dependencies: 0, DevDependencies: 5
Version: 0.3.0, Dependencies: 0, DevDependencies: 5
Version: 1.0.0, Dependencies: 0, DevDependencies: 5
Version: 1.0.1, Dependencies: 0, DevDependencies: 5
Version: 1.0.2, Dependencies: 0, DevDependencies: 7
Version: 1.1.0, Dependencies: 0, DevDependencies: 6
Analysing ab-testing
Version: 1.0.0, Dependencies: 0, DevDependencies: 4
Version: 1.0.1, Dependencies: 1, DevDependencies: 4
Version: 1.0.2, Dependencies: 1, DevDependencies: 4
Version: 1.0.3, Dependencies: 1, DevDependencies: 4
Version: 1.0.4, Dependencies: 1, DevDependencies: 4
Version: 2.0.0, Dependencies: 1, DevDependencies: 4
Version: 2.0.1, Dependencies: 1, DevDependencies: 4
Version: 2.0.2, Dependencies: 1, DevDependencies: 4
Version: 2.0.3, Dependencies: 1, DevDependencies: 4
Version: 3.0.0, Dependencies: 1, DevDependencies: 4
Version: 3.1.0, Dependencies: 2, DevDependencies: 4
Version: 3.1.1, Dependencies: 2, DevDependencies: 3
Version: 3.1.2, Dependencies: 2, DevDependencies: 3
Version: 3.1.3, Dependencies: 2, DevDependencies: 3
Version: 3.1.4, Dependencies: 2, DevDependencies: 3
Version: 3.1.5, Dependencies: 2, DevDependencies: 3
Version: 3.1.6, Dependencies: 2, DevDependencies: 3
Version: 3.1.7, Dependencies: 2, DevDependencies: 2
Version: 3.1.8, Dependencies: 2, DevDependencies: 2
Analysing abab
Version: 1.0.0, Dependencies: 0, DevDependencies: 1
Version: 1.0.1, Dependencies: 0, DevDependencies: 13
Version: 1.0.2, Dependencies: 0, DevDependencies: 13
Version: 1.0.3, Dependencies: 0, DevDependencies: 13
Version: 1.0.4, Dependencies: 0, DevDependencies: 13
Version: 2.0.0, Dependencies: 0, DevDependencies: 8
Version: 2.0.1, Dependencies: 0, DevDependencies: 8
Version: 2.0.2, Dependencies: 0, DevDependencies: 8
Version: 2.0.3, Dependencies: 0, DevDependencies: 8
Version: 2.0.4, Dependencies: 0, DevDependencies: 8
Version: 2.0.5, Dependencies: 0, DevDependencies: 8
Analysing abstract-socket
Version: 0.0.1, Dependencies: 2, DevDependencies: 0
Version: 0.1.0, Dependencies: 2, DevDependencies: 0
Version: 1.0.0, Dependencies: 2, DevDependencies: 0
Version: 1.0.1, Dependencies: 2, DevDependencies: 0
Version: 1.1.0, Dependencies: 2, DevDependencies: 0
Version: 2.0.0, Dependencies: 2, DevDependencies: 2
Version: 2.1.0, Dependencies: 2, DevDependencies: 2
Version: 2.1.1, Dependencies: 2, DevDependencies: 2
Analysing acme
Version: 0.0.5, Dependencies: 1, DevDependencies: 0
Version: 1.0.8, Dependencies: 4, DevDependencies: 0
Version: 1.0.9, Dependencies: 4, DevDependencies: 0
Version: 1.0.10, Dependencies: 4, DevDependencies: 0
Version: 1.0.11, Dependencies: 5, DevDependencies: 0
Version: 1.0.12, Dependencies: 4, DevDependencies: 0
Version: 1.1.0, Dependencies: 2, DevDependencies: 0
Version: 1.1.1, Dependencies: 1, DevDependencies: 0
Version: 1.2.0, Dependencies: 1, DevDependencies: 0
Version: 1.3.0, Dependencies: 1, DevDependencies: 0
Version: 1.3.1, Dependencies: 1, DevDependencies: 0
Version: 1.3.2, Dependencies: 1, DevDependencies: 0
Version: 1.3.3, Dependencies: 1, DevDependencies: 0
Version: 1.3.4, Dependencies: 1, DevDependencies: 0
Version: 1.3.5, Dependencies: 1, DevDependencies: 0
Version: 3.0.2, Dependencies: 1, DevDependencies: 3
Version: 3.0.3, Dependencies: 1, DevDependencies: 3
Analysing aconite
Version: 0.2.0, Dependencies: 3, DevDependencies: 7
Version: 0.2.1, Dependencies: 3, DevDependencies: 7
Version: 0.3.0, Dependencies: 3, DevDependencies: 9
Version: 0.3.1, Dependencies: 3, DevDependencies: 9
Version: 0.4.0, Dependencies: 3, DevDependencies: 9
Version: 0.4.1, Dependencies: 3, DevDependencies: 9
Version: 0.4.2, Dependencies: 3, DevDependencies: 9
Version: 0.4.3, Dependencies: 3, DevDependencies: 9
Version: 0.5.0, Dependencies: 3, DevDependencies: 9
Version: 0.6.0, Dependencies: 3, DevDependencies: 9
Version: 0.7.0, Dependencies: 3, DevDependencies: 8
Version: 0.8.0, Dependencies: 3, DevDependencies: 8
Version: 0.9.0, Dependencies: 3, DevDependencies: 8
Version: 0.9.1, Dependencies: 3, DevDependencies: 8
Version: 0.10.0, Dependencies: 3, DevDependencies: 8
Version: 0.11.0, Dependencies: 3, DevDependencies: 8
Version: 0.11.1, Dependencies: 3, DevDependencies: 8
Version: 0.11.2, Dependencies: 3, DevDependencies: 8
Analysing adafruit-i2c-lcd
Version: 0.0.1, Dependencies: 2, DevDependencies: 0
Version: 0.0.2, Dependencies: 1, DevDependencies: 1
Version: 0.0.2-a, Dependencies: 1, DevDependencies: 1
Version: 0.0.3, Dependencies: 1, DevDependencies: 1
Version: 0.1.0, Dependencies: 1, DevDependencies: 1
Version: 0.1.1, Dependencies: 1, DevDependencies: 1
Version: 1.0.0, Dependencies: 1, DevDependencies: 1
Version: 1.0.2, Dependencies: 1, DevDependencies: 1
Version: 2.0.0, Dependencies: 1, DevDependencies: 1
Analysing address-validator-net
Version: 1.0.0, Dependencies: 1, DevDependencies: 0
Version: 1.0.1, Dependencies: 1, DevDependencies: 0
Version: 2.0.0, Dependencies: 1, DevDependencies: 9
Version: 2.0.1, Dependencies: 1, DevDependencies: 9
Version: 2.0.2, Dependencies: 1, DevDependencies: 9
Version: 2.0.3, Dependencies: 1, DevDependencies: 9
Version: 2.0.4, Dependencies: 1, DevDependencies: 9
Version: 2.0.6, Dependencies: 1, DevDependencies: 9
Version: 2.0.7, Dependencies: 1, DevDependencies: 9
Version: 2.0.8, Dependencies: 2, DevDependencies: 9
Version: 2.0.9, Dependencies: 2, DevDependencies: 9
Analysing adobe-analytics-di
Version: 1.0.0, Dependencies: 0, DevDependencies: 3
Version: 1.0.1, Dependencies: 1, DevDependencies: 2
Version: 1.0.2, Dependencies: 1, DevDependencies: 2
Version: 1.0.3, Dependencies: 1, DevDependencies: 2
Version: 1.0.4, Dependencies: 1, DevDependencies: 2
Version: 1.1.0, Dependencies: 1, DevDependencies: 2
Version: 1.2.0, Dependencies: 1, DevDependencies: 2
Version: 1.3.0, Dependencies: 1, DevDependencies: 2
Version: 1.3.1, Dependencies: 1, DevDependencies: 2
Version: 1.3.3, Dependencies: 1, DevDependencies: 2
Version: 1.3.4, Dependencies: 1, DevDependencies: 2
Analysing adorn
Version: 0.0.1-security, Dependencies: 0, DevDependencies: 0
Analysing advpng-bin
Version: 0.0.1, Dependencies: 2, DevDependencies: 1
Version: 0.1.0, Dependencies: 2, DevDependencies: 1
Version: 0.1.1, Dependencies: 2, DevDependencies: 1
Version: 0.1.2, Dependencies: 2, DevDependencies: 1
Version: 0.1.3, Dependencies: 2, DevDependencies: 1
Version: 0.1.4, Dependencies: 2, DevDependencies: 1
Version: 0.1.5, Dependencies: 3, DevDependencies: 3
Version: 0.1.6, Dependencies: 3, DevDependencies: 3
Version: 1.0.0, Dependencies: 3, DevDependencies: 4
Version: 1.0.1, Dependencies: 3, DevDependencies: 4
Version: 2.0.0, Dependencies: 3, DevDependencies: 3
Version: 2.0.1, Dependencies: 3, DevDependencies: 3
Version: 2.0.2, Dependencies: 3, DevDependencies: 3
Version: 3.0.0, Dependencies: 3, DevDependencies: 5
Version: 4.0.0, Dependencies: 3, DevDependencies: 6
Version: 5.0.0, Dependencies: 3, DevDependencies: 6
Version: 5.0.1, Dependencies: 3, DevDependencies: 6
Version: 5.0.2, Dependencies: 2, DevDependencies: 6
Version: 6.0.0, Dependencies: 2, DevDependencies: 6
Version: 6.0.1, Dependencies: 2, DevDependencies: 6
Analysing afterwriting
Version: 1.2.3, Dependencies: 4, DevDependencies: 24
Version: 1.2.5, Dependencies: 4, DevDependencies: 24
Version: 1.2.6, Dependencies: 4, DevDependencies: 24
Version: 1.2.28, Dependencies: 5, DevDependencies: 27
Version: 1.3.6, Dependencies: 5, DevDependencies: 31
Version: 1.3.7, Dependencies: 9, DevDependencies: 27
Version: 1.6.0, Dependencies: 10, DevDependencies: 27
Version: 1.7.0, Dependencies: 10, DevDependencies: 27
Version: 1.8.0, Dependencies: 10, DevDependencies: 27
Version: 1.9.0, Dependencies: 10, DevDependencies: 27
Version: 1.9.1, Dependencies: 10, DevDependencies: 27
Version: 1.10.0, Dependencies: 10, DevDependencies: 27
Version: 1.11.0, Dependencies: 10, DevDependencies: 27
Version: 1.12.0, Dependencies: 10, DevDependencies: 27
Version: 1.11.1, Dependencies: 10, DevDependencies: 27
Version: 1.12.2, Dependencies: 10, DevDependencies: 27
Version: 1.12.3, Dependencies: 10, DevDependencies: 27
Version: 1.12.4, Dependencies: 10, DevDependencies: 27
Version: 1.12.5, Dependencies: 9, DevDependencies: 27
Version: 1.12.6, Dependencies: 9, DevDependencies: 27
Version: 1.12.7, Dependencies: 9, DevDependencies: 27
Version: 1.12.8, Dependencies: 10, DevDependencies: 27
Version: 1.12.9, Dependencies: 10, DevDependencies: 27
Version: 1.13.0, Dependencies: 10, DevDependencies: 27
Version: 1.13.1, Dependencies: 10, DevDependencies: 27
Version: 1.14.0, Dependencies: 10, DevDependencies: 27
Version: 1.15.0, Dependencies: 10, DevDependencies: 27
Version: 1.15.1, Dependencies: 10, DevDependencies: 27
Version: 1.16.0, Dependencies: 10, DevDependencies: 29
Version: 1.17.0, Dependencies: 10, DevDependencies: 32
Version: 1.17.1, Dependencies: 11, DevDependencies: 31
Version: 1.17.2, Dependencies: 11, DevDependencies: 31
Version: 1.17.3, Dependencies: 11, DevDependencies: 31
Analysing agent-base
Version: 0.0.1, Dependencies: 0, DevDependencies: 1
Version: 1.0.0, Dependencies: 0, DevDependencies: 1
Version: 1.0.1, Dependencies: 0, DevDependencies: 1
Version: 1.0.2, Dependencies: 0, DevDependencies: 1
Version: 2.0.0, Dependencies: 2, DevDependencies: 1
Version: 2.0.1, Dependencies: 2, DevDependencies: 1
Version: 2.1.0, Dependencies: 2, DevDependencies: 2
Version: 2.1.1, Dependencies: 2, DevDependencies: 2
Version: 3.0.0, Dependencies: 3, DevDependencies: 2
Version: 4.0.0, Dependencies: 1, DevDependencies: 2
Version: 4.0.1, Dependencies: 1, DevDependencies: 2
Version: 4.1.0, Dependencies: 1, DevDependencies: 2
Version: 4.1.1, Dependencies: 1, DevDependencies: 2
Version: 4.1.2, Dependencies: 1, DevDependencies: 2
Version: 4.2.0, Dependencies: 1, DevDependencies: 2
Version: 4.2.1, Dependencies: 1, DevDependencies: 2
Version: 4.3.0, Dependencies: 1, DevDependencies: 4
Version: 5.0.0, Dependencies: 1, DevDependencies: 19
Version: 5.1.0, Dependencies: 0, DevDependencies: 18
Version: 5.1.1, Dependencies: 0, DevDependencies: 18
Version: 6.0.0, Dependencies: 1, DevDependencies: 19
Version: 6.0.1, Dependencies: 1, DevDependencies: 21
Version: 6.0.2, Dependencies: 1, DevDependencies: 21
Analysing aggregation
Version: 0.9.0, Dependencies: 0, DevDependencies: 7
Version: 0.9.1, Dependencies: 0, DevDependencies: 7
Version: 0.9.2, Dependencies: 0, DevDependencies: 7
Version: 0.9.3, Dependencies: 0, DevDependencies: 7
Version: 0.9.4, Dependencies: 0, DevDependencies: 8
Version: 0.9.5, Dependencies: 0, DevDependencies: 8
Version: 0.9.6, Dependencies: 0, DevDependencies: 8
Version: 0.9.7, Dependencies: 0, DevDependencies: 8
Version: 0.9.8, Dependencies: 0, DevDependencies: 8
Version: 0.9.9, Dependencies: 0, DevDependencies: 8
Version: 1.0.0, Dependencies: 0, DevDependencies: 8
Version: 1.1.0, Dependencies: 0, DevDependencies: 8
Version: 1.2.0, Dependencies: 0, DevDependencies: 8
Version: 1.2.1, Dependencies: 0, DevDependencies: 8
Version: 1.2.2, Dependencies: 0, DevDependencies: 8
Version: 1.2.3, Dependencies: 0, DevDependencies: 8
Version: 1.2.4, Dependencies: 0, DevDependencies: 8
Version: 1.2.5, Dependencies: 0, DevDependencies: 8
Version: 1.2.6, Dependencies: 0, DevDependencies: 8
Version: 1.2.7, Dependencies: 0, DevDependencies: 8
Analysing aiur
Version: 0.0.1, Dependencies: 5, DevDependencies: 1
Version: 0.1.0, Dependencies: 5, DevDependencies: 1
Version: 0.1.1, Dependencies: 5, DevDependencies: 1
Version: 0.1.2, Dependencies: 5, DevDependencies: 3
Version: 0.1.3, Dependencies: 5, DevDependencies: 3
Version: 0.1.5, Dependencies: 5, DevDependencies: 3
Version: 0.1.6, Dependencies: 6, DevDependencies: 3
Version: 0.1.7, Dependencies: 6, DevDependencies: 3
Version: 0.1.8, Dependencies: 6, DevDependencies: 3
Version: 0.2.0, Dependencies: 11, DevDependencies: 5
Version: 0.3.0, Dependencies: 11, DevDependencies: 5
Version: 0.3.1, Dependencies: 11, DevDependencies: 5
Version: 0.5.1, Dependencies: 17, DevDependencies: 4
Version: 0.6.0, Dependencies: 17, DevDependencies: 4
Version: 0.7.0, Dependencies: 17, DevDependencies: 4
Analysing ajax-cache-parser
Version: 1.0.0, Dependencies: 0, DevDependencies: 2
Version: 1.1.0, Dependencies: 0, DevDependencies: 2
Version: 1.0.1, Dependencies: 0, DevDependencies: 2
Version: 1.1.1, Dependencies: 0, DevDependencies: 3
Version: 1.1.2, Dependencies: 0, DevDependencies: 3
Version: 1.1.3, Dependencies: 0, DevDependencies: 3
Version: 1.1.4, Dependencies: 0, DevDependencies: 3
Version: 1.1.5, Dependencies: 0, DevDependencies: 3
Version: 1.1.6, Dependencies: 0, DevDependencies: 3
Version: 1.1.7, Dependencies: 0, DevDependencies: 3
Analysing akismet-api
Version: 0.0.1, Dependencies: 1, DevDependencies: 3
Version: 0.0.2, Dependencies: 1, DevDependencies: 3
Version: 1.0.0, Dependencies: 1, DevDependencies: 3
Version: 1.1.0, Dependencies: 1, DevDependencies: 3
Version: 1.1.2, Dependencies: 2, DevDependencies: 3
Version: 1.1.3, Dependencies: 2, DevDependencies: 3
Version: 1.1.5, Dependencies: 2, DevDependencies: 3
Version: 2.0.0, Dependencies: 3, DevDependencies: 3
Version: 2.1.0, Dependencies: 3, DevDependencies: 3
Version: 2.1.1, Dependencies: 3, DevDependencies: 3
Version: 2.2.0, Dependencies: 3, DevDependencies: 3
Version: 3.0.0, Dependencies: 2, DevDependencies: 3
Version: 4.0.0, Dependencies: 2, DevDependencies: 3
Version: 4.0.1, Dependencies: 2, DevDependencies: 3
Version: 4.1.0, Dependencies: 2, DevDependencies: 3
Version: 4.2.0, Dependencies: 2, DevDependencies: 3
Version: 5.0.0, Dependencies: 2, DevDependencies: 4
